artifactory,artifactory-volume-artifactory-0,150,37
artifactory,data-artifactory-postgresql-0,50,3
cnpg-system,shared-postgres-1,10,1
cnpg-system,shared-postgres-1-wal,5,3
cnpg-system,shared-postgres-2,10,1
cnpg-system,shared-postgres-2-wal,5,3
cnpg-system,shared-postgres-3,10,1
cnpg-system,shared-postgres-3-wal,5,4
default,data-volume-new-new-boplats-database-2,9.314,3
default,media-data,10,1
default,sonarr-3-config,10,0
default,sonarr-4-config,10,0
default,sonarr-5-config,10,0
default,sonarr-6-config,10,0
default,zero-cache-data,2,1
gitlab,data-gitlab-postgresql-0,20,2
gitlab,gitlab-minio,30,17
gitlab,redis-data-gitlab-redis-master-0,10,2
gitlab,repo-data-gitlab-gitaly-0,50,3
immich,immich-db-pvc-immich-postgres-0,10,9
immich,immich-model-cache-immich-machine-learning-0,10,1
media,bazarr-config-pvc-bazarr-0,5,2
media,checkrr-config-pvc-checkrr-0,5,1
media,jellyfin-config-pvc-jellyfin-0-v2,40,38
media,radarr-1-config,30,23
media,radarr-10-config,10,3
media,radarr-11-config,10,3
media,radarr-12-config,10,2
media,radarr-2-config,30,18
media,radarr-3-config,30,4
media,radarr-4-config,10,2
media,radarr-5-config,10,2
media,radarr-6-config,10,2
media,radarr-7-config,10,2
media,radarr-8-config,10,2
media,radarr-9-config,10,2
media,reiverr-config-pvc-reiverr-0,10,1
media,reiverr-plugins-pvc-reiverr-0,10,1
media,seerr-config,2,1
media,sonarr-1-config,10,4
media,sonarr-2-config,10,3
media,sonarr-3-config,10,1
media,sonarr-4-config,10,1
media,sonarr-5-config,10,1
media,sonarr-6-config,10,2
minecraft,minecraft-data-pvc,20,1
minecraft,minecraft-modpacks-pvc,5,1
monitoring,alertmanager-kube-prometheus-stack-alertmanager-db-alertmanager-kube-prometheus-stack-alertmanager-0,10,1
monitoring,gotify-data-pvc,5,2
monitoring,kube-prometheus-stack-grafana,10,1
